layout,method,robots,success_mean,success_std,success_ci95,strict_success_mean,strict_success_std,strict_success_ci95,collision_events_mean,collision_events_std,collision_events_ci95,collision_episode_mean,collision_episode_std,collision_episode_ci95,min_separation_mean,min_separation_std,min_separation_ci95,path_length_mean,path_length_std,path_length_ci95,final_error_mean,final_error_std,final_error_ci95,control_time_ms_mean,control_time_ms_std,control_time_ms_ci95,episodes
open,gnn,20,0.0,0.0,0.0,0.0,0.0,0.0,32.7,7.071853442423076,4.383180174764031,1.0,0.0,0.0,0.04429722640904497,0.02292691097486367,0.014210246644926202,472.07097418542344,7.419849336497138,4.598870264529533,1.3730923422977832,0.2064543451767207,0.12796172886501891,0.560882314457558,0.018205588700760247,0.011283940781971086,10
open,mlp,5,1.0,0.0,0.0,0.0,0.0,0.0,1.8,0.42163702135578396,0.26133333333333336,1.0,0.0,0.0,0.23147663512059355,0.15476102998899252,0.09592188016857257,28.00933873327626,2.804389751667355,1.7381787761721539,0.2553133100613795,0.02085143432760378,0.012923852891503301,0.18403574643208406,0.0032171104510659537,0.001993985715901216,10
open,mlp,10,1.0,0.0,0.0,0.0,0.0,0.0,4.7,0.48304589153964794,0.29939494540378153,1.0,0.0,0.0,0.1299184227840749,0.05791609174432289,0.035896765565117575,60.585801861425786,6.5505078107605,4.060046804494375,0.23920660438723823,0.0185479388470438,0.011496131601002466,0.18873335182915146,0.0028621806726679857,0.0017739979601065603,10
open,mlp,20,1.0,0.0,0.0,0.0,0.0,0.0,24.9,3.212821536005731,1.991327418806081,1.0,0.0,0.0,0.043913300593649285,0.02064596726356477,0.012796503085827155,119.05992677346156,11.73423635115471,7.272955040588882,0.23637859510470616,0.02242293377355361,0.013897878339318551,0.2069726780768913,0.0026846628405144822,0.0016639712678260536,10
open,orca,5,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.07122414527280274,0.0048412565820339275,0.0030006419171557668,34.79552355456228,3.6307210610997642,2.250344227956449,0.15271358705548072,0.018471988397996512,0.011449057024975276,0.07242347130204814,0.00641612346723902,0.00397675452544508,10
open,orca,10,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.10989414784227217,0.03674364676654975,0.02277394821130376,95.73731899530695,6.675040722643536,4.13723310295425,0.09124029273881534,0.015576111908307166,0.009654174181104792,0.20868362864881468,0.010018473171759898,0.006209514004410303,10
open,orca,20,1.0,0.0,0.0,0.0,0.0,0.0,16.4,1.2649110640673518,0.7839999999999999,1.0,0.0,0.0,0.20279333395908847,0.02050700616560631,0.012710374104988681,191.36781849108252,28.297132931042086,17.538744697671273,0.08285012643934989,0.012871826803926,0.0079780409081319,0.7759693114111166,0.011781273866290742,0.0073021091945165645,10
open,rvo,5,1.0,0.0,0.0,0.0,0.0,0.0,1.7,0.4830458915396479,0.2993949454037815,1.0,0.0,0.0,0.35898405391052435,0.22754668364494923,0.14103489568982158,28.632798125099008,2.929780776631801,1.8158969386301678,0.12182148461903328,0.010171902382355043,0.006304610414366434,6.406510079606404,0.08713084102875625,0.05400425477099599,10
open,rvo,10,1.0,0.0,0.0,0.0,0.0,0.0,4.6,0.9660917830792959,0.5987898908075631,1.0,0.0,0.0,0.17064000553450714,0.10135521879449101,0.06282061545051824,60.82159587281378,5.511722988449057,3.4162013011801537,0.06386813890548496,0.007339628771961288,0.004549149043502443,22.16902793964662,0.058289739194769735,0.03612835465424165,10
open,rvo,20,1.0,0.0,0.0,0.0,0.0,0.0,21.7,2.4517567397911053,1.5196145710160993,1.0,0.0,0.0,0.07079338054801793,0.035370912667846595,0.021923118802062408,119.97999170989291,11.084581692882107,6.870294911703646,0.06279535446792779,0.0065231697106107244,0.004043102474472859,82.50776520993698,0.3389093712404546,0.21005820456509866,10
open,transformer,5,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.6324555320336759,0.39199999999999996,0.9,0.31622776601683794,0.19599999999999998,0.34419085301646735,0.3518145808968746,0.21805693637957077,96.55152945519531,3.0569477320461345,1.894715834184969,0.9281962463757182,0.12035311919990246,0.07459563611477697,1.0391659171242889,0.045695387148518826,0.02832229438269124,10
open,transformer,10,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.4714045207910317,0.2921795490599725,1.0,0.0,0.0,0.10822441813237342,0.06899224583021187,0.0427618369918899,193.2744872188112,6.221326759007682,3.8560182748170764,0.9910963197510998,0.09065417573055531,0.05618804024388785,1.0499510925728825,0.025436891077579717,0.015765948430158272,10
open,transformer,20,0.0,0.0,0.0,0.0,0.0,0.0,23.0,2.6666666666666665,1.6528171237146727,1.0,0.0,0.0,0.03901027818281631,0.022736224002542698,0.014092057635005673,395.6356899948299,12.551591791947772,7.779557191352929,0.9252010421979631,0.07245412505774476,0.04490753196720183,1.0861944067679967,0.03255969970621832,0.020180710956541965,10
random,astar,5,1.0,0.0,0.0,0.0,0.0,0.0,2.5,1.1785113019775793,0.7304488726499313,1.0,0.0,0.0,0.19596203266463114,0.20349132606460507,0.12612523059261946,36.78079883223454,11.463606758776372,7.105217081413818,0.13104657203903747,0.0326470895759471,0.02023487575896456,0.43463108418553575,0.13706526628826834,0.08495393219541053,10
random,astar,10,1.0,0.0,0.0,0.0,0.0,0.0,9.1,2.884826203122507,1.7880338052981235,1.0,0.0,0.0,0.04679126430368291,0.028470370422636386,0.01764611840738744,106.73599628032814,16.704736748531683,10.3537031044196,0.09776469889896572,0.008983098110278757,0.005567781892754118,0.7739124828135224,0.19107339989955585,0.11842852021513775,10
random,astar,20,1.0,0.0,0.0,0.0,0.0,0.0,30.2,5.940445175985458,3.68192606600887,1.0,0.0,0.0,0.025929529164124793,0.013627133630880429,0.008446184929600229,244.9614558593999,29.73450164755558,18.429635058075753,0.07619901020696943,0.010850089346357861,0.006724955049560406,1.6109870129072767,0.4929838710812913,0.30555456893936433,10
random,attention,5,0.3,0.4830458915396479,0.2993949454037815,0.1,0.31622776601683794,0.19599999999999998,1.6,1.1737877907772674,0.7275212100764562,0.9,0.31622776601683794,0.19599999999999998,0.3838891336480742,0.3249951388496121,0.20143407398049998,37.587467681240234,8.272884422840821,5.1275868887188825,0.7507965741268698,0.21863757157243852,0.13551297081836952,1.1901429745679102,0.021452447186029695,0.013296364520495449,10
random,attention,10,0.4,0.5163977794943223,0.32006665972366866,0.0,0.0,0.0,6.0,1.632993161855452,1.0121396478088716,1.0,0.0,0.0,0.13546021101187172,0.12668994915812806,0.07852324401416076,86.19393201638763,8.088585388363647,5.0133571636934,0.742203230223248,0.15227515936314484,0.09438112159191993,1.4191419807805992,0.03089881873129817,0.019151286263116987,10
random,attention,20,0.1,0.31622776601683794,0.19599999999999998,0.0,0.0,0.0,28.7,7.409453421137082,4.592426809433113,1.0,0.0,0.0,0.03977390521790808,0.019400605618667507,0.012024619941363281,178.01581580001303,17.08046037684758,10.58657902191887,0.9811529175202486,0.23925759200957522,0.14829339189456178,1.9060400258361672,0.015727752160226424,0.009748161782986,10
random,gnn,5,0.8,0.4216370213557839,0.2613333333333333,0.0,0.0,0.0,2.5,0.8498365855987975,0.5267341728888386,1.0,0.0,0.0,0.1884330613219814,0.10003152516361319,0.06200018163814315,57.9794913748123,10.557706390951687,6.543734216293794,0.5359600071855052,0.10167184278104448,0.06301686103055112,0.7586416703027983,0.015638383331912847,0.009692770409324878,10
random,gnn,10,0.9,0.31622776601683794,0.19599999999999998,0.0,0.0,0.0,6.7,2.263232692902394,1.4027661561674805,1.0,0.0,0.0,0.07813194123873556,0.0449488507953178,0.027859586357173935,110.43615373892787,23.259247857411516,14.416231178795087,0.4986955636754412,0.22437865052493502,0.13907132841885106,0.995217344413201,0.016306596893011203,0.010106933465355523,10
random,gnn,20,1.0,0.0,0.0,0.0,0.0,0.0,28.0,4.898979485566356,3.0364189434266144,1.0,0.0,0.0,0.029297740891932277,0.01460948123583696,0.009055050283192322,255.0454471160042,10.490777374339906,6.502251182020294,0.4056636432922335,0.056842962520427344,0.035231633181162625,1.4718959197246781,0.021936394022929472,0.01359631787761876,10
random,mlp,5,0.7,0.48304589153964794,0.29939494540378153,0.0,0.0,0.0,4.8,7.177124153246278,4.448427637316858,1.0,0.0,0.0,0.10337489679912297,0.08239283394401002,0.05106760755526474,33.89233221326367,9.249583779116326,5.732951421508853,0.6254243787365257,0.24867277347108593,0.1541289818229865,0.428388788520048,0.009509889513402132,0.005894290587144615,10
random,mlp,10,0.9,0.31622776601683794,0.19599999999999998,0.0,0.0,0.0,7.4,1.429840705968481,0.8862244511283683,1.0,0.0,0.0,0.07091425323375297,0.06703427767151908,0.04154827575424908,73.52658010217321,13.438529822860552,8.329287078290337,0.55651304913708,0.11333913116792475,0.07024832129298353,0.6625057820929214,0.021671554532965025,0.01343216866110035,10
