method,safety,robots,seed,success,collisions,collision_events,collision_episode,min_separation,path_length,steps,final_error,control_time_ms
gnn,1,10,12,1,0,0,0,0.9242865333448055,132.09277827198767,240,0.20839179344504907,0.9938768091766784
gnn,0,10,13,1,51,5,1,0.060283690169284344,126.38317652775301,240,0.23988151050091794,1.0047763392018776
gnn,1,10,13,1,32,1,1,0.3350669541327797,114.73537852862349,240,0.4592570005572193,0.9913070554224154
gnn,0,10,14,1,60,5,1,0.013684642053904907,128.62668066643198,240,0.3229867248471908,0.9974038655248781
gnn,1,10,14,1,0,0,0,0.8602576499704297,106.3790153623871,240,0.5336914359831464,0.992714943519483
gnn,0,10,15,1,54,5,1,0.09808526817662182,130.33594661525433,240,0.3211688458179887,1.0061887558549643
gnn,1,10,15,1,0,0,0,0.7866085827760274,128.59158808406977,240,0.2763343275329175,0.9958773327525705
gnn,0,10,16,1,78,5,1,0.03217050254740779,143.95826466138476,240,0.5093028955176444,0.9775494652179381
gnn,1,10,16,0,0,0,0,0.9098649825048695,123.72999375301417,240,0.7737849254999263,0.9845959507705023
gnn,0,10,17,1,62,5,1,0.03109435040880711,121.54414445077329,240,0.36200797627803655,0.9963799170994511
gnn,1,10,17,1,16,1,1,0.5665276954252296,111.01789145875625,240,0.4024379829559542,0.9962344212302318
gnn,0,10,18,1,32,4,1,0.04677619275511236,128.93599869937745,240,0.419896305430531,0.9755245506918678
gnn,1,10,18,1,0,0,0,0.9136821834189489,121.99070101762548,240,0.4704758125049648,0.9885073794672886
gnn,0,10,19,1,53,5,1,0.20751710008429422,123.46366073598848,240,0.4504900111865216,0.9785212149533132
gnn,1,10,19,1,0,0,0,0.9027384336191682,103.83257084825806,240,0.4615124394478555,0.9903101114711413
gnn,0,20,10,1,485,30,1,0.047847516613803515,238.40321706191472,240,0.3754944524366714,1.4692216936964542
gnn,1,20,10,1,296,8,1,0.002292979493211742,184.4361604530994,240,0.32932609931483486,1.5153761468051623
gnn,0,20,11,1,341,20,1,0.003249203722015525,251.8402048586949,240,0.35607800729120337,1.4776657219044864
gnn,1,20,11,1,197,9,1,0.007905216740231119,232.8604518121607,240,0.31643026832557974,1.4633669440324109
gnn,0,20,12,0,471,35,1,0.05127682658273676,229.67268595724659,240,0.709051831259681,1.4628034201450646
gnn,1,20,12,0,246,7,1,0.0046271946607649534,203.57462133197473,240,0.8109233664695822,1.5000008803326637
gnn,0,20,13,1,587,29,1,0.10020864117717504,235.26609859880858,240,0.45140363295201985,1.4475676269891362
gnn,1,20,13,0,154,6,1,0.005945784353138239,199.38045818086857,240,0.7200447371586912,1.4628561698676397
gnn,0,20,14,1,451,23,1,0.023192741874202016,224.6653275247778,240,0.4003999816075049,1.4666275839166094
gnn,1,20,14,0,133,5,1,0.009141861894163864,177.75093915358963,240,0.6812656790650207,1.4760747629528244
gnn,0,20,15,1,321,30,1,0.01764482995299798,249.2537028833371,240,0.40041598630719155,1.450828501644234
gnn,1,20,15,1,131,10,1,0.06565161460611482,187.2515866705511,240,0.5566099263285933,1.4586747158318758
gnn,0,20,16,1,256,26,1,0.049920740445050384,273.70502574498056,240,0.32944501702740514,1.445190072990954
gnn,1,20,16,1,271,5,1,0.008687362177522721,193.48738433357977,240,0.6249795936445984,1.4682468977601577
gnn,0,20,17,1,593,22,1,0.021904716822676765,226.7856560870858,240,0.47022691681014467,1.4507367993549753
gnn,1,20,17,1,258,6,1,0.008518281486952002,190.34053834586055,240,0.4710507067280762,1.459418289596215
gnn,0,20,18,1,565,33,1,0.014726830250250225,229.86600204721387,240,0.3822941124693649,1.4422266220208257
gnn,1,20,18,1,70,5,1,0.3978914654385538,211.9924759857719,240,0.3933326567425907,1.4997897824893396
gnn,0,20,19,1,533,27,1,0.027825253429061714,236.6464069757358,240,0.3800852695784965,1.455619135716309
gnn,1,20,19,1,143,8,1,0.15932993683729238,200.51098489344656,240,0.4067352829447288,1.4732632048738499
