layout,method,robots,success_mean,success_std,success_ci95,strict_success_mean,strict_success_std,strict_success_ci95,physical_collision_events_mean,physical_collision_events_std,physical_collision_events_ci95,physical_collision_episode_mean,physical_collision_episode_std,physical_collision_episode_ci95,collision_events_mean,collision_events_std,collision_events_ci95,collision_episode_mean,collision_episode_std,collision_episode_ci95,min_separation_mean,min_separation_std,min_separation_ci95,path_length_mean,path_length_std,path_length_ci95,final_error_mean,final_error_std,final_error_ci95,control_time_ms_mean,control_time_ms_std,control_time_ms_ci95,episodes
narrow,transformer,10,0.7,0.48304589153964794,0.29939494540378153,0.0,0.0,0.0,3.9,2.378141197564929,1.4739871852299877,0.9,0.31622776601683794,0.19599999999999998,5.3,2.406010991015812,1.4912610621737414,0.9,0.31622776601683794,0.19599999999999998,0.22376664970461796,0.24576284460545914,0.15232538922627414,127.88525274539461,36.98779681905275,22.925273981628553,0.8162719712924508,1.017800077174325,0.63083902352694,1.223005507296572,0.01757777130425638,0.010894815528155752,10
narrow,transformer,20,0.5,0.5270462766947299,0.32666666666666666,0.0,0.0,0.0,24.5,5.50252467307306,3.4105001262441133,1.0,0.0,0.0,31.9,8.089087299153924,5.01366825122418,1.0,0.0,0.0,0.03510315352055181,0.02280929057317953,0.014137344764675546,241.51706213542616,58.86837491342334,36.48699678831051,0.8650433416535547,0.8091134288774319,0.5014936988535426,1.4529035593538235,0.021142890445237046,0.013104499264766676,10
open,attention,5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.7071067811865476,0.43826932358995874,0.4,0.5163977794943222,0.32006665972366855,0.7,0.9486832980505138,0.588,0.4,0.5163977794943222,0.32006665972366855,0.7453293801061409,0.4952694659249294,0.306971195300154,34.34039411584035,3.41891926474541,2.119068114513447,0.7210775156799605,0.022062826479236273,0.013674681525910207,0.9499615803360939,0.016404974549475957,0.010167908568553975,10
open,attention,10,0.0,0.0,0.0,0.0,0.0,0.0,4.6,1.577621275493231,0.9778197970769233,1.0,0.0,0.0,5.2,1.6193277068654826,1.0036697110548314,1.0,0.0,0.0,0.11961542312623914,0.06041201675351203,0.037443755913128395,78.32478815913495,6.875531000049575,4.261498264317377,0.7246986521241129,0.014024189009112814,0.008692282402677288,0.9857017308240756,0.02935305007934477,0.018193208926648264,10
open,attention,20,0.0,0.0,0.0,0.0,0.0,0.0,18.0,1.7638342073763937,1.0932357680045253,1.0,0.0,0.0,24.7,2.263232692902394,1.4027661561674805,1.0,0.0,0.0,0.0508424703576678,0.03452465653190988,0.021398603814865604,156.43701991943075,14.519737304215656,8.999426418092384,0.7263090446572467,0.011918027738442222,0.007386870122626409,0.9975553934539979,0.014866470903043997,0.009214334129158895,10
open,gnn,5,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.15007791724398303,0.10264834554314163,0.06362210371300696,39.179218781581845,6.439569202092793,3.9912863424617253,0.5942109374365203,0.013446584846384974,0.008334279633595244,0.5167575628729537,0.009312152761122164,0.005771732078336094,10
open,gnn,10,0.0,0.0,0.0,0.0,0.0,0.0,4.9,2.183269719175042,1.3532045915775879,0.9,0.31622776601683794,0.19599999999999998,6.9,1.5951314818673865,0.9886727354275416,1.0,0.0,0.0,0.2515321927820068,0.14440883698110052,0.08950552446678135,242.75442081270768,2.699126717430278,1.6729360716167019,1.2993795132650707,0.23024438756187232,0.14270694990054755,0.5421584148037558,0.01606556427364186,0.00995753990010523,10
open,gnn,20,0.0,0.0,0.0,0.0,0.0,0.0,22.2,5.6134758493389025,3.4792683777547895,1.0,0.0,0.0,32.7,7.071853442423076,4.383180174764031,1.0,0.0,0.0,0.04429722640904497,0.02292691097486367,0.014210246644926202,472.07097418542344,7.419849336497138,4.598870264529533,1.3730923422977832,0.2064543451767207,0.12796172886501891,0.5565818455458308,0.00914937620857727,0.005670842125816554,10
open,mlp,5,1.0,0.0,0.0,0.0,0.0,0.0,1.5,0.5270462766947299,0.32666666666666666,1.0,0.0,0.0,1.8,0.42163702135578396,0.26133333333333336,1.0,0.0,0.0,0.23147663512059355,0.15476102998899252,0.09592188016857257,28.00933873327626,2.804389751667355,1.7381787761721539,0.2553133100613795,0.02085143432760378,0.012923852891503301,0.18512664651585334,0.012187547302233388,0.007553920078955216,10
open,mlp,10,1.0,0.0,0.0,0.0,0.0,0.0,3.5,1.35400640077266,0.8392218618061217,1.0,0.0,0.0,4.7,0.48304589153964794,0.29939494540378153,1.0,0.0,0.0,0.1299184227840749,0.05791609174432289,0.035896765565117575,60.585801861425786,6.5505078107605,4.060046804494375,0.23920660438723823,0.0185479388470438,0.011496131601002466,0.1907886414431314,0.006051438235268096,0.003750720276882304,10
