layout,robots,scenario_seed,checkpoint,success,collision_events,collision_episode,min_separation,path_length,final_error,control_time_ms
open,5,11,checkpoints_seed3,0,1,1,0.6237374765318066,77.69789553698755,1.4051532510041862,0.5505230937463542
open,5,12,checkpoints_seed1,0,2,1,0.166719894843881,84.55633191676925,0.9373644237382329,0.5567012529354542
open,5,12,checkpoints_seed2,1,2,1,0.10864983701395496,58.118606985540524,0.2303530275191703,0.5161732129038197
open,5,12,checkpoints_seed3,0,2,1,0.0643985649828773,78.6876998670071,1.4112725133248836,0.5192491400521249
open,5,13,checkpoints_seed1,0,2,1,0.351760309045708,91.17238777966512,0.9713197260503575,0.5331715374874572
open,5,13,checkpoints_seed2,1,2,1,0.2663307061807057,61.65376334580562,0.24345089071502618,0.5268684509754568
open,5,13,checkpoints_seed3,0,2,1,0.12122823787240164,79.26047298616318,1.3701152943591535,0.5373337577717999
open,5,14,checkpoints_seed1,0,2,1,0.3898254925932244,90.40123510739542,0.9400564125298004,0.5561176047194749
open,5,14,checkpoints_seed2,1,2,1,0.29774715400523644,61.65257350007644,0.24099757864156923,0.5581394671858136
open,5,14,checkpoints_seed3,0,2,1,0.4266954072563442,79.30200535952802,1.417332755660049,0.5471861610809962
open,5,15,checkpoints_seed1,0,2,1,0.11451692216602223,77.69946545658506,0.9492338568639068,0.5137123768993964
open,5,15,checkpoints_seed2,1,2,1,0.13529800837136632,54.13088456734769,0.22910490842843795,0.5133799991033373
open,5,15,checkpoints_seed3,0,2,1,0.3497567381986827,75.70283643894254,1.4038551362424578,0.5096683705536028
open,5,16,checkpoints_seed1,0,2,1,0.29543868281094926,78.01969013399575,0.9350291009057635,0.5113369862859448
open,5,16,checkpoints_seed2,1,2,1,0.1844969917022207,48.566995178052935,0.2472397111967246,0.5104479860165156
open,5,16,checkpoints_seed3,0,1,1,0.43828404820416184,75.10432746503326,1.4059282746983286,0.5089001050995042
open,5,17,checkpoints_seed1,0,2,1,0.41782192205316726,90.41716862533865,0.947387069073122,0.5087152278671662
open,5,17,checkpoints_seed2,1,2,1,0.35330674286716557,60.818554156151954,0.24926722369376195,0.5103567343772641
open,5,17,checkpoints_seed3,0,2,1,0.3389355642991635,78.9268028650782,1.3956919526913292,0.5128569532341013
open,5,18,checkpoints_seed1,0,1,1,0.2614126537917737,90.24487003286175,0.9461543332917983,0.5098901223391294
open,5,18,checkpoints_seed2,1,2,1,0.0585489141826448,54.97337856589254,0.2538573570267806,0.5090452791394099
open,5,18,checkpoints_seed3,0,2,1,0.0968468477976296,78.97649913469739,1.3596252754929217,0.5090747494250536
open,5,19,checkpoints_seed1,0,1,1,0.42454981369377937,88.5547999976384,0.9405319215485578,0.5078064762831976
open,5,19,checkpoints_seed2,1,2,1,0.0668248218815102,52.851666267857354,0.27009651160375026,0.5124976733393634
open,5,19,checkpoints_seed3,0,2,1,0.27421203595274307,78.9694208187282,1.3921303036130197,0.5430410848930478
open,10,10,checkpoints_seed1,0,4,1,0.2770211296376403,239.78109276861665,1.1466596059766427,0.5113200071112564
open,10,10,checkpoints_seed2,1,2,1,0.23518752190296077,258.1708554419678,0.5443493818685684,0.5234278738498688
open,10,10,checkpoints_seed3,0,5,1,0.09025346748808828,231.1292968136718,0.6803870790905744,0.5267237972778579
open,10,11,checkpoints_seed1,0,5,1,0.07471948308328447,234.79804016876966,1.0114672975668328,0.5361889527800182
open,10,11,checkpoints_seed2,0,5,1,0.08788879704471157,248.21140828364335,0.748611962367985,0.5652545679671069
open,10,11,checkpoints_seed3,0,5,1,0.3085093799174433,223.2836490044495,0.660705734380581,0.5657675792463124
open,10,12,checkpoints_seed1,0,6,1,0.1998342486202619,240.08071914734364,0.896905379161349,0.5279749030402551
open,10,12,checkpoints_seed2,1,5,1,0.06989374428906223,256.31748206931644,0.5023661384657303,0.5333340513364723
open,10,12,checkpoints_seed3,1,6,1,0.38267044121322774,229.9272060685943,0.5903830060398344,0.5241418820029745
open,10,13,checkpoints_seed1,0,10,1,0.09158611451570049,241.38726790570558,0.8083905582079278,0.523186866970112
open,10,13,checkpoints_seed2,1,3,1,0.5796521038061889,259.59203618689276,0.5016956872748102,0.5215657234657556
open,10,13,checkpoints_seed3,0,6,1,0.5377986304199512,220.4401909736287,0.7203343453055884,0.5384212204565605
open,10,14,checkpoints_seed1,0,23,1,0.04786322405466036,240.86013734637777,0.9958571132705408,0.5780761498802652
open,10,14,checkpoints_seed2,1,5,1,0.5844754628245303,258.07470583497917,0.5023105963308311,0.53809400415048
open,10,14,checkpoints_seed3,0,6,1,0.5935647852042117,229.0015528343582,0.6539912237835251,0.5256845324765891
open,10,15,checkpoints_seed1,0,5,1,0.08630544215196295,240.60024511878896,1.3181429207170914,0.5411123158410192
open,10,15,checkpoints_seed2,0,6,1,0.12296884462638073,249.0402720387746,0.7246190152634409,0.5499140359461308
open,10,15,checkpoints_seed3,1,5,1,0.06015111752722745,225.16992157720327,0.5536567814920684,0.5458672666766992
open,10,16,checkpoints_seed1,0,6,1,0.0354860012740622,225.0583523931317,0.773191508315825,0.5450880368395398
open,10,16,checkpoints_seed2,1,5,1,0.0433297732738694,249.4031180116692,0.5811507338774465,0.5504394803817073
open,10,16,checkpoints_seed3,0,5,1,0.2145243013840709,223.36916943921142,0.7221384335955523,0.5259804873882482
open,10,17,checkpoints_seed1,0,24,1,0.107431401076065,241.47132269768733,0.9913484042772828,0.5102379829622805
open,10,17,checkpoints_seed2,1,5,1,0.6100680995959129,259.20301943572485,0.5027373062672609,0.5085308977868408
open,10,17,checkpoints_seed3,0,6,1,0.5809681228509603,229.570305593457,0.6826007529560962,0.5154142272658646
open,10,18,checkpoints_seed1,0,5,1,0.14186950375150378,241.43105043841513,0.83533678288618,0.5412328813690692
open,10,18,checkpoints_seed2,1,2,1,0.5304317395962168,260.3219840880172,0.5189257573931725,0.5420397074582676
open,10,18,checkpoints_seed3,0,5,1,0.32662103582978574,229.98800256694318,0.6582490330772605,0.5163402975692103
open,10,19,checkpoints_seed1,0,5,1,0.03312039376219986,240.35253897397595,0.8138183441647765,0.5234932837386926
open,10,19,checkpoints_seed2,1,2,1,0.40339600148880983,259.7088597226476,0.5327168504446844,0.5285478682102015
open,10,19,checkpoints_seed3,0,5,1,0.1844729254891188,224.77896167448094,0.7237942708524527,0.5224256950896233
open,20,10,checkpoints_seed1,1,28,1,0.05614332987118151,474.48837543979226,0.5003945733294177,0.5513164331205189
open,20,10,checkpoints_seed2,1,21,1,0.12153281650501876,511.58197291171376,0.5536847593446914,0.5479541083332151
open,20,10,checkpoints_seed3,1,20,1,0.031674538279196286,463.4065653351642,0.6455980157089577,0.5508703897551944
open,20,11,checkpoints_seed1,1,61,1,0.013835360255619053,457.8719855713809,0.6177549273089911,0.5472458200529218
open,20,11,checkpoints_seed2,0,48,1,0.02089227377818337,496.1101762065776,0.6859901900301705,0.5383849493227899
open,20,11,checkpoints_seed3,0,26,1,0.025553536826687633,444.77334306857273,0.6662191242924231,0.5419412220362574
open,20,12,checkpoints_seed1,0,32,1,0.031343129268814926,480.7073272658907,0.7994003640432596,0.5569912648449341
open,20,12,checkpoints_seed2,1,30,1,0.07900418348315999,510.13510499835644,0.5029957483133456,0.563454565902551
open,20,12,checkpoints_seed3,1,28,1,0.03903672734014092,465.0851419217694,0.5253884761342424,0.5690438769912968
open,20,13,checkpoints_seed1,1,29,1,0.03619128794137728,479.20120377730365,0.6005732101390044,0.5484093776127944
open,20,13,checkpoints_seed2,1,24,1,0.05109895032961228,520.7265884446637,0.5058511182828269,0.568155104216809
open,20,13,checkpoints_seed3,0,19,1,0.025491950728647066,459.20288634904267,0.6906850968313989,0.5494771350640804
open,20,14,checkpoints_seed1,0,79,1,0.03858296665077184,486.9491388089952,0.737002170688384,0.5695454077795148
open,20,14,checkpoints_seed2,1,23,1,0.013304959284669102,519.2837857557439,0.5027319424778844,0.5681926481580982
open,20,14,checkpoints_seed3,0,25,1,0.07981899890311181,458.55772026133303,0.6865996675760418,0.5449272013114145
open,20,15,checkpoints_seed1,0,37,1,0.014625635557341508,464.7465898583739,0.6871589991915653,0.5585711294164261
open,20,15,checkpoints_seed2,0,26,1,0.008080810328603446,497.8423027880365,0.8474707669344397,0.5522703693713993
open,20,15,checkpoints_seed3,0,25,1,0.01560929813685789,449.7300277388503,0.6734062527329232,0.5759847563846657
open,20,16,checkpoints_seed1,1,41,1,0.015588327170128886,448.69593072998913,0.4899001967855831,0.5494229670148343
open,20,16,checkpoints_seed2,1,27,1,0.055322797312029146,497.5756207399645,0.6396886615896935,0.5374139524064958
open,20,16,checkpoints_seed3,0,22,1,0.058943411535667393,456.39328385913205,0.654598399047331,0.5405264111080518
open,20,17,checkpoints_seed1,0,37,1,0.02329653673424144,479.8139454147384,0.6702146546698472,0.5433329749697199
open,20,17,checkpoints_seed2,1,25,1,0.058668965796524225,520.775164888329,0.5031374213549469,0.536761178712671
open,20,17,checkpoints_seed3,0,22,1,0.03718869400737012,459.8776515559027,0.6874487134018274,0.5343535332940519
open,20,18,checkpoints_seed1,1,34,1,0.04708881293383547,479.45096010620205,0.5544410317521373,0.541368747750918
open,20,18,checkpoints_seed2,1,23,1,0.09949400634922902,521.05956118401,0.5220351006034655,0.577164258963118
open,20,18,checkpoints_seed3,0,25,1,0.03760640362463597,452.43613499558364,0.7112164448008027,0.5307905414762596
open,20,19,checkpoints_seed1,1,31,1,0.08184660351241094,471.7518785302721,0.5348315667419246,0.5466319678816944
open,20,19,checkpoints_seed2,1,26,1,0.036477646635860866,520.5030749695632,0.5337077949763087,0.5433092883322388
open,20,19,checkpoints_seed3,0,22,1,0.05529817602861593,463.764642508455,0.6530607625810534,0.5473669016888986
random,5,10,checkpoints_seed1,1,1,1,0.5408373600361209,40.730034075672684,0.593844887000403,0.7584261785571774
