layout,method,robots,seed,success,strict_success,physical_collision_events,physical_collision_episode,collisions,collision_events,collision_episode,min_separation,path_length,steps,final_error,control_time_ms
open,attention,5,16,0,0,0,0,0,0,0,1.0744746878913978,28.626420761294792,240,0.753506169291108,0.9774004050996155
open,transformer,5,16,0,0,1,1,10,2,1,0.3048149684209838,97.10617439241236,240,0.8780960567842626,1.0105808750571061
open,mlp,5,17,1,0,2,1,30,2,1,0.13594329299711527,29.159969253943622,240,0.2668402561118982,0.1820709090679884
open,gnn,5,17,1,0,2,1,18,2,1,0.029022770970747173,42.89225520640612,240,0.5995381878418573,0.5194750342828532
open,attention,5,17,0,0,0,0,0,0,0,0.8182127891390865,35.45245397876134,240,0.7072420730189957,0.9490608974980811
open,transformer,5,17,0,0,2,1,13,2,1,0.25613498310751615,95.08805370826299,240,1.0208352941443708,1.0124985206251342
open,mlp,5,18,1,0,2,1,24,2,1,0.3827969714688556,30.20846645935788,240,0.26678715595044517,0.1801541909420242
open,gnn,5,18,1,0,2,1,17,2,1,0.1634574166791571,46.87885612751307,240,0.6146821115292875,0.5149259445412705
open,attention,5,18,0,0,2,1,11,2,1,0.06699663035193845,37.95167331570464,240,0.6975735845090242,0.9469110887342443
open,transformer,5,18,0,0,2,1,13,2,1,0.1079783341454083,93.82752464957495,240,1.018517779967664,1.018936198670417
open,mlp,5,19,1,0,1,1,19,2,1,0.4277594128778208,30.138009829223694,240,0.2608340828481709,0.1804695096022139
open,gnn,5,19,1,0,2,1,17,2,1,0.16412605548618125,45.699454365010034,240,0.6140962990827468,0.5133770134610435
open,attention,5,19,0,0,1,1,6,1,1,0.2596742981030801,38.20420742336845,240,0.705673285743222,0.9331563177208105
open,transformer,5,19,0,0,2,1,14,2,1,0.052999215761722805,94.72587279241513,240,1.0172133527600777,1.0445628645053755
open,mlp,10,10,1,0,4,1,91,5,1,0.09270468835573768,56.81267999807732,230,0.2158371021567845,0.19454935201160287
open,gnn,10,10,0,0,5,1,52,5,1,0.1687575057002681,237.9555646836085,240,1.5748363605545328,0.55157402336287
open,attention,10,10,0,0,4,1,26,4,1,0.07883951292225387,76.47704563519447,240,0.7318900683293028,1.0371098896333326
open,transformer,10,10,0,0,5,1,30,5,1,0.05130975094487105,196.6047036349521,240,1.0564661619128788,1.070587304032718
open,mlp,10,11,1,0,4,1,107,5,1,0.09330476767108493,53.63924097994815,240,0.21804632421157238,0.18511530361138284
open,gnn,10,11,0,0,4,1,41,5,1,0.41098785305605223,240.25593568471442,240,1.0428177564562922,0.5691668445554873
open,attention,10,11,0,0,2,1,12,2,1,0.1650737294905826,66.99057348747608,240,0.7444965852922587,0.9701718556849906
open,transformer,10,11,0,0,3,1,38,4,1,0.1851876759203329,185.329785095576,240,1.052166652395358,1.0793619672767818
open,mlp,10,12,1,0,4,1,89,5,1,0.10832555490505734,67.87764984570657,240,0.27204870187642566,0.20019348206308982
open,gnn,10,12,0,0,0,0,48,7,1,0.5615061376693161,247.07069675490118,240,1.2598587085622026,0.5539917639301469
open,attention,10,12,0,0,7,1,57,7,1,0.02594728274395795,82.463659547337,240,0.7266432307359695,0.9610756280987213
open,transformer,10,12,0,0,5,1,36,5,1,0.06775468004559872,198.2436016871846,240,0.8727221572061434,1.004461559932679
open,mlp,10,13,1,0,2,1,83,5,1,0.192742698965028,65.88150010028774,240,0.2542382242743246,0.1831927802413702
open,gnn,10,13,0,0,7,1,68,8,1,0.2732552830947412,243.7537934296551,240,1.4191460769376838,0.5394858269331356
open,attention,10,13,0,0,5,1,34,5,1,0.09431757740177273,85.13701077028489,240,0.710380518270318,0.9660492146698137
open,transformer,10,13,0,0,4,1,32,5,1,0.07586335962652499,190.67341220875335,240,1.0575491215459192,1.1029322515241802
open,mlp,10,14,1,0,5,1,102,5,1,0.19270130626341425,64.54400691442103,240,0.2520772742448339,0.19079715906021497
open,gnn,10,14,0,0,6,1,66,7,1,0.1053037594184513,241.62582519764544,240,1.3071890548188343,0.5338373555180927
open,attention,10,14,0,0,4,1,41,7,1,0.15307415321147302,85.01216772550725,240,0.7067621177518053,0.9701682138256729
open,transformer,10,14,0,0,4,1,34,5,1,0.08085267188787637,201.01701419881874,240,0.8683517318283294,1.027369904719914
open,mlp,10,15,1,0,2,1,80,4,1,0.026311012424633427,59.36903409404719,240,0.24803372706592602,0.18797587254084647
open,gnn,10,15,0,0,3,1,24,10,1,0.24434982537867259,244.08842268264738,240,1.0057196683862006,0.5252620360503594
open,attention,10,15,0,0,7,1,51,7,1,0.031298023721860996,75.70830673675914,240,0.7385276502435528,1.0146655996019642
open,transformer,10,15,0,0,3,1,42,5,1,0.2699575068096896,197.88311114763158,240,0.8490388994791754,1.100786798633635
open,mlp,10,16,1,0,5,1,122,5,1,0.07825715100899786,47.1521123052652,213,0.2357141604122726,0.19974356403513133
open,gnn,10,16,0,0,5,1,53,5,1,0.11488711439812162,244.940076659294,240,0.961242242678043,0.5599154993736496
open,attention,10,16,0,0,3,1,25,4,1,0.1966792722143678,66.82958282726479,240,0.740557622447454,1.0226822438805054
open,transformer,10,16,0,0,5,1,49,6,1,0.0620115919168501,181.6065243240284,240,1.0486672963718675,1.0244191954067599
open,mlp,10,17,1,0,5,1,99,5,1,0.18487869594867415,62.89903500185171,240,0.24382018921099405,0.18495093875875077
open,gnn,10,17,0,0,7,1,77,8,1,0.12394907111552524,243.2378253223167,240,1.4080047586188058,0.5353262706194073
open,attention,10,17,0,0,5,1,32,6,1,0.18275081615983493,84.69265098243427,240,0.7069572964751307,0.9737919045922657
open,transformer,10,17,0,0,4,1,34,5,1,0.07066550991673365,190.0279007258532,240,1.0597996930965792,1.0977568609329562
open,mlp,10,18,1,0,2,1,88,4,1,0.17560184847145163,66.86753252676354,240,0.2355720706598654,0.1934132887981832
open,gnn,10,18,0,0,7,1,59,7,1,0.29098480632621776,244.33344128806152,240,1.4063654350868813,0.5178140631566445
open,attention,10,18,0,0,4,1,30,5,1,0.14892705392878983,80.40518689230211,240,0.7196078998140532,0.9502167580649257
open,transformer,10,18,0,0,5,1,32,5,1,0.09294688798311332,194.40608458641515,240,1.0562874540534488,1.0313119448255748
open,mlp,10,19,1,0,2,1,80,4,1,0.15435650382667016,60.81522684788946,240,0.21667826975938373,0.18795467331074178
open,gnn,10,19,0,0,5,1,59,7,1,0.2213405716627016,240.28262642423198,240,1.6086150705512297,0.5352104645377646
open,attention,10,19,0,0,5,1,32,5,1,0.11924680946749801,79.53169698678947,240,0.7211635318812835,0.9910860001885643
open,transformer,10,19,0,0,5,1,29,5,1,0.12569454627214383,196.952734578899,240,0.989914029621298,1.106202113442123
open,mlp,20,10,1,0,14,1,642,24,1,0.01823363419445868,108.26191505245586,220,0.23189423691962005,0.22108061027459122
open,gnn,20,10,0,0,16,1,264,24,1,0.02718879079944655,473.1267564184952,240,1.5460775295870706,0.5607035884167999
open,attention,20,10,0,0,20,1,338,24,1,0.10030075200677087,148.60532334612785,240,0.7380796354205352,1.0137214926847566
