layout,method,robots,seed,success,collisions,collision_events,collision_episode,min_separation,path_length,steps,final_error
crossing,astar,10,14,1,31,5,1,0.003554139445713721,100.7999964009299,90,0.08667504561404626
crossing,mlp,10,14,0,204,7,1,0.02891520326465536,68.10395812594182,240,0.824762977348097
crossing,gnn,10,14,1,60,5,1,0.013684642053904907,128.62668066643198,240,0.3229867248471908
crossing,orca,20,10,1,146,15,1,0.2732303921931682,366.5251174529309,240,0.07399068493627324
crossing,astar,20,10,1,142,21,1,0.054963885481607515,194.879993121567,87,0.07909428018221712
crossing,mlp,20,10,1,933,25,1,0.03726734833862513,130.248832544298,240,0.5838951315354802
crossing,gnn,20,10,1,485,30,1,0.047847516613803515,238.40321706191472,240,0.3754944524366714
crossing,orca,20,11,1,100,13,1,0.21584961479405335,244.83478553914244,156,0.06273923626955548
crossing,astar,20,11,1,155,20,1,0.01327117695361482,181.43999498568084,81,0.10002419808584764
crossing,mlp,20,11,1,479,18,1,0.017614389147070787,133.29535402358505,240,0.589404668306359
crossing,gnn,20,11,1,341,20,1,0.003249203722015525,251.8402048586949,240,0.35607800729120337
crossing,orca,20,12,0,115,11,1,0.15179042056037564,315.5933814406075,240,0.6978833439677425
crossing,astar,20,12,1,362,34,1,0.02242180705071617,219.519993188026,98,0.07966986263329887
crossing,mlp,20,12,1,848,29,1,0.1264162813707114,150.47294738981657,240,0.6312317127996866
crossing,gnn,20,12,0,471,35,1,0.05127682658273676,229.67268595724659,240,0.709051831259681
crossing,orca,20,13,1,94,10,1,0.3204431720639505,370.1785157968501,240,0.0695925708300105
crossing,astar,20,13,1,162,20,1,0.008492144040230288,201.59999362045392,90,0.06046010470205208
crossing,mlp,20,13,1,782,27,1,0.08349604434660726,140.7888242520736,240,0.5256774309846084
crossing,gnn,20,13,1,587,29,1,0.10020864117717504,235.26609859880858,240,0.45140363295201985
crossing,orca,20,14,1,93,13,1,0.32381740797094205,331.96941222526607,217,0.060104944752798005
crossing,astar,20,14,1,227,27,1,0.005900703416845797,201.59999453044608,90,0.09689737472874861
crossing,mlp,20,14,1,876,33,1,0.0074238328302308,141.78592413645373,240,0.4693802409603632
crossing,gnn,20,14,1,451,23,1,0.023192741874202016,224.6653275247778,240,0.4003999816075049
random,orca,5,10,1,22,2,1,0.34629537134152116,56.03608965893617,129,0.10234030654622225
random,astar,5,10,1,11,2,1,0.40031424627473533,44.799997621481396,100,0.14114791095787016
random,mlp,5,10,1,50,2,1,0.09190202721593409,34.61607945995807,240,0.5920055097304697
random,gnn,5,10,1,24,2,1,0.13775926884652093,56.66495835940589,240,0.4852153250744344
random,orca,5,11,1,8,1,1,0.5765942150985613,53.74750798324659,124,0.09931229250601488
random,astar,5,11,1,11,2,1,0.07027643071470101,31.80799915581561,71,0.14658132737447077
random,mlp,5,11,0,25,2,1,0.028290448795272323,26.977434124301187,240,0.6754891870724264
random,gnn,5,11,0,8,1,1,0.42673285950488393,28.731610420545856,240,0.9110647640027519
random,orca,5,12,1,0,0,0,0.8288947722935596,48.66151944884418,126,0.12655325266154244
