layout,method,robots,seed,success,strict_success,collisions,collision_events,collision_episode,min_separation,path_length,steps,final_error,control_time_ms
crossing,astar,20,14,1,0,227,27,1,0.005900703416845797,201.59999453044608,90,0.09689737472874861,5.128733591280049
crossing,mlp,20,14,1,0,876,33,1,0.0074238328302308,141.78592413645373,240,0.4693802409603632,1.1254280242913712
crossing,gnn,20,14,1,0,451,23,1,0.023192741874202016,224.6653275247778,240,0.4003999816075049,1.4683716697618365
crossing,attention,20,14,0,0,581,26,1,0.051457356389297,172.53293538478061,240,0.8433937882141098,1.9195429747924209
crossing,transformer,20,14,0,0,532,28,1,0.017275395080341104,193.63386185586015,240,0.7558975761329,1.9801900547463447
crossing,orca,20,15,1,0,129,16,1,0.18136688864941672,275.4802190500684,181,0.05862661077241943,1.624728681632827
crossing,rvo,20,15,1,0,134,20,1,0.06402302954317055,137.08799059731172,101,0.027653209520548328,91.73737025570752
crossing,astar,20,15,1,0,260,27,1,0.03219112770418645,201.59999211008682,90,0.06767976547265861,6.873658909979794
crossing,mlp,20,15,1,0,628,24,1,0.0436433278643247,141.29912563462977,240,0.6253113843098592,1.1140971308729302
crossing,gnn,20,15,1,0,321,30,1,0.01764482995299798,249.2537028833371,240,0.40041598630719155,1.457627839408815
crossing,attention,20,15,0,0,557,37,1,0.02485446737820958,230.43430118693172,240,0.8325607334154557,1.8814904731698334
crossing,transformer,20,15,1,0,323,28,1,0.03740789760299542,261.9403804189533,240,0.44162103279022585,1.9439310242887586
crossing,orca,20,16,1,0,134,15,1,0.20167399367781896,183.15391601446944,121,0.05714611650172734,1.6493578864769503
crossing,rvo,20,16,1,0,130,18,1,0.058407841928032854,99.7919927204418,80,0.03868817740657855,91.36511692777276
crossing,astar,20,16,1,0,138,22,1,0.0966094784480468,154.55999527583415,69,0.07324104962287911,4.993059274241112
crossing,mlp,20,16,1,0,510,42,1,0.03560417336690514,119.83530262615129,240,0.5720128493089784,1.1001705618885655
crossing,gnn,20,16,1,0,256,26,1,0.049920740445050384,273.70502574498056,240,0.32944501702740514,1.557884047118326
crossing,attention,20,16,1,0,381,22,1,0.007536044956414945,236.12666718095014,240,0.3834974098483407,1.9181481834190588
crossing,transformer,20,16,1,0,519,24,1,0.04823505728021774,246.81953862884026,240,0.32125778246474046,2.0554155053105205
crossing,orca,20,17,1,0,128,12,1,0.3626870756763601,340.2260371504875,240,0.07181977617702778,1.6572901280596852
crossing,rvo,20,17,1,0,175,25,1,0.1033912646645647,137.1999910873872,95,0.040667912641400766,91.95097101558196
crossing,astar,20,17,1,0,282,31,1,0.04677636108971229,194.87999356591845,87,0.07633448715509532,6.273949363579352
crossing,mlp,20,17,1,0,887,35,1,0.0255385181498409,136.67914799308588,240,0.4962081447509809,1.1190902111896623
crossing,gnn,20,17,1,0,593,22,1,0.021904716822676765,226.7856560870858,240,0.47022691681014467,1.4893955395867426
crossing,attention,20,17,0,0,722,26,1,0.09370749858459142,186.63383302745578,240,0.872406631586057,1.9441681914031506
crossing,transformer,20,17,0,0,478,33,1,0.05113280937983582,215.32035036974983,240,0.6512995494255346,1.9730828042762976
crossing,orca,20,18,1,0,95,13,1,0.19232193377840986,234.8407754995412,157,0.06334721784245836,1.652077202252142
crossing,rvo,20,18,1,0,146,23,1,0.035610850971834376,128.01599120789786,98,0.02969962725977615,92.0391287417056
crossing,astar,20,18,1,0,158,26,1,0.018187610462050238,188.15999373508288,84,0.09413707447065198,6.686206779531425
crossing,mlp,20,18,1,0,1075,25,1,0.013417600505853363,138.64219801801747,240,0.51621899846643,1.1029453482478857
crossing,gnn,20,18,1,0,565,33,1,0.014726830250250225,229.86600204721387,240,0.3822941124693649,1.4516985102090985
crossing,attention,20,18,1,0,546,24,1,0.05787626029007984,202.6736624293751,240,0.5325898463353145,1.8636690724330645
crossing,transformer,20,18,1,0,510,28,1,0.03166224832115094,236.79481109662285,240,0.39846233378085155,1.9367372520112742
crossing,orca,20,19,1,0,126,14,1,0.11489006597726813,209.36604059479114,138,0.0685633130643505,1.6383981008244597
crossing,rvo,20,19,1,0,136,20,1,0.0471512738486081,119.36399301585732,96,0.028830150124122718,92.10896478907671
crossing,astar,20,19,1,0,152,22,1,0.005068775410926128,183.6799946704017,82,0.056168082226705295,3.810722227549044
crossing,mlp,20,19,1,0,1024,28,1,0.010767397544030128,134.16904571334967,240,0.5063879130688413,1.152580345903213
crossing,gnn,20,19,1,0,533,27,1,0.027825253429061714,236.6464069757358,240,0.3800852695784965,1.4463824840883415
crossing,attention,20,19,1,0,358,25,1,0.06984505455267496,207.51739634714568,240,0.48710097569910304,1.8829837713080149
crossing,transformer,20,19,1,0,336,29,1,0.06466315603231552,260.01375434159576,240,0.3485121786721893,1.997030076260368
open,orca,5,10,1,0,56,2,1,0.06996241445119565,34.25702469017386,115,0.16897059085940072,0.0692752108949682
open,rvo,5,10,1,0,14,2,1,0.022684677276003363,28.335997774743063,77,0.1358132426458944,6.407437059883174
open,astar,5,10,1,0,2,1,1,0.6622738048362639,34.943998819198505,78,0.1374864498636547,0.10870786932989573
open,mlp,5,10,1,0,15,1,1,0.4148777874307703,27.83482095809318,240,0.22192731095996598,0.18225795938633382
open,gnn,5,10,1,0,16,2,1,0.1678548747304627,41.0056051286618,240,0.5939792492546492,0.5125751524853209
open,attention,5,10,0,0,8,2,1,0.10237068289700657,32.46437049797559,240,0.7132608762272673,0.9775284367303053
open,transformer,5,10,0,0,11,2,1,0.13614433413290367,103.5125823843344,240,0.7222660933851283,1.0007100587245077
open,orca,5,11,1,0,55,2,1,0.07029491102162534,29.986075797570596,103,0.16922908684892188,0.07013251860309573
open,rvo,5,11,1,0,12,2,1,0.153165960422175,24.751998200547064,68,0.12384025255511037,6.351851570584318
open,astar,5,11,1,0,6,1,1,0.37853202572357936,30.91199880816976,69,0.11806432813721841,0.1060748810245507
open,mlp,5,11,1,0,28,2,1,0.0428072004992894,24.237632486221464,219,0.23601017320526108,0.17910392010865145
open,gnn,5,11,1,0,13,2,1,0.0938977601911705,27.874467178970143,240,0.5764254510262231,0.5015445834336182
open,attention,5,11,0,0,0,0,0,1.6102634615716893,31.384341313214982,240,0.7406061327038971,0.9247330890502781
open,transformer,5,11,0,0,15,2,1,0.23959380998895463,99.58892068612079,240,0.7659053239459872,1.025313276719923
open,orca,5,12,1,0,53,2,1,0.07211327359118527,35.64807591392544,118,0.15501285012444493,0.06911013733153626
open,rvo,5,12,1,0,4,1,1,0.5738771371173422,29.455997547080504,80,0.1351229020100752,6.496622069971636
open,astar,5,12,1,0,12,2,1,0.24791947852447602,36.735998620844335,82,0.10264704207042508,0.12752729490762804
open,mlp,5,12,1,0,17,1,1,0.34289920991142897,28.899004540071683,240,0.25659127437133666,0.18253768212161958
open,gnn,5,12,1,0,13,2,1,0.3953969448493599,37.69597515094473,240,0.5851699880335468,0.5155214962239066
open,attention,5,12,0,0,0,0,0,0.9209202088075208,35.889431531531194,240,0.7203737673908529,0.9364044138540825
open,transformer,5,12,0,0,9,2,1,0.46440273648456226,93.39151757208957,240,1.013970950150767,1.055872723615418
open,orca,5,13,1,0,57,2,1,0.06659903467473846,38.9125611024736,128,0.13659699341426387,0.07014091897872277
open,rvo,5,13,1,0,3,1,1,0.6227195215722454,32.031998447846014,87,0.12150973557689564,6.336030700169076
open,astar,5,13,1,0,6,1,1,0.4101336157366988,39.42399849852236,88,0.12656374016361002,0.09705303025177935
open,mlp,5,13,1,0,28,2,1,0.07730361538436048,31.191371417170465,240,0.2835248137185001,0.18283247093980512
open,gnn,5,13,1,0,17,2,1,0.060569185004969835,43.16868673233968,240,0.5987545308579477,0.5786250170785934
open,attention,5,13,0,0,8,2,1,0.5399183604040139,37.11406198844046,240,0.6983181849316373,1.0069721145555377
open,transformer,5,13,0,0,12,2,1,0.2720222458989571,95.48080237298659,240,1.0198943172428032,1.0787001655747492
