layout,method,robots,success_mean,success_std,success_ci95,collision_events_mean,collision_events_std,collision_events_ci95,collision_episode_mean,collision_episode_std,collision_episode_ci95,min_separation_mean,min_separation_std,min_separation_ci95,path_length_mean,path_length_std,path_length_ci95,final_error_mean,final_error_std,final_error_ci95,control_time_ms_mean,control_time_ms_std,control_time_ms_ci95,episodes
crossing,orca,10,0.9,0.31622776601683794,0.19599999999999998,3.5,1.1785113019775793,0.7304488726499313,1.0,0.0,0.0,0.36018375171397843,0.1831022756753173,0.1134879662352334,141.2459429828188,29.85635690870531,18.50516173141688,0.26654119113763397,0.25228352590768804,0.1563669493692529,0.6617729472094163,0.012966160431897498,0.008036509496501934,10
crossing,orca,20,0.9,0.31622776601683794,0.19599999999999998,13.2,1.8737959096740262,1.1613907371959036,1.0,0.0,0.0,0.2338070965341763,0.08196605522898401,0.050803087367177764,287.21682007641544,66.9639342330102,41.50467643935842,0.1283813815114363,0.2001845177724208,0.124075649578808,1.6633625187425611,0.013481922546715848,0.008356182167177583,10
crossing,rvo,5,1.0,0.0,0.0,1.9,0.31622776601683794,0.19599999999999998,1.0,0.0,0.0,0.27522224952061564,0.16501811657405127,0.102279288298776,31.018398150492573,4.805113415596692,2.978240150508492,0.09662138221533441,0.029694720674734977,0.018404978555672285,8.654723442101629,0.03745248478559639,0.023213290567236363,10
crossing,rvo,10,1.0,0.0,0.0,4.6,0.6992058987801011,0.4333723059397722,1.0,0.0,0.0,0.11900535823432783,0.06919410060432031,0.04288694787707115,65.41639601218382,8.806048488130136,5.458045400041198,0.0491522164565282,0.0126229901234967,0.007823810335723701,26.70550389932015,0.0963836011480653,0.05973917490855282,10
crossing,rvo,20,1.0,0.0,0.0,23.1,3.212821536005731,1.991327418806081,1.0,0.0,0.0,0.058650580245020976,0.019805341361232652,0.012275477753572423,129.74079197183295,17.07654752591094,10.584153811782386,0.03366914369732229,0.007786372560857962,0.00482604371257804,90.91325687585808,0.2460276085649705,0.15248949162853273,10
narrow,astar,5,1.0,0.0,0.0,2.0,1.1547005383792515,0.715690808473417,1.0,0.0,0.0,0.31979793284844815,0.18258374811093508,0.11316657952116001,42.201598714493805,3.680998428188566,2.2815064629288218,0.1154755343886941,0.024480460106979275,0.01517314637296098,0.445137995658025,0.2731824259734164,0.16932022183004197,10
narrow,astar,10,1.0,0.0,0.0,7.4,5.420127099780759,3.3594295812103443,1.0,0.0,0.0,0.13593900396042663,0.1455593597004023,0.09021862583616315,132.04799495204435,8.76260336892292,5.43111783617838,0.10088721779034356,0.017026716755536374,0.01055326838032127,0.9086895798851117,0.411116719940022,0.2548127829608542,10
narrow,astar,20,1.0,0.0,0.0,44.6,21.06181378704123,13.054247431391824,1.0,0.0,0.0,0.03323409216385392,0.029652991223957523,0.018379114374119217,245.27999184105028,15.45618027287356,9.57983978333488,0.08434885164274754,0.01280095559008372,0.007934114474700538,2.0503308517345515,0.4284310861527215,0.2655443383218354,10
narrow,gnn,5,0.5,0.5270462766947299,0.32666666666666666,1.2,0.7888106377466155,0.4889098985384617,0.8,0.42163702135578396,0.26133333333333336,0.42599128491116717,0.40235177881613227,0.24938021616913575,44.321514422615124,5.1397627626930795,3.1856579647538084,0.7024477305347784,0.27946959878242567,0.17321705190947342,0.6468998588388786,0.016940472387158196,0.010499813566991492,10
narrow,gnn,10,1.0,0.0,0.0,4.2,1.0327955589886446,0.6401333194473373,1.0,0.0,0.0,0.19635226697341907,0.10473526663900906,0.0649155908091661,146.198786132995,29.062225414461107,18.0129539318539,0.3405331780971404,0.09031455490122513,0.05597754107303018,0.7512744273602342,0.016381188717451856,0.01015316595712726,10
narrow,gnn,20,0.9,0.31622776601683794,0.19599999999999998,26.5,8.181958472422385,5.0712304007782745,1.0,0.0,0.0,0.054870925571638286,0.03765293167040868,0.023337528833591244,283.38343194578863,58.742041513119815,36.40869453556598,0.37283455963385775,0.1829668392521453,0.11340402187046088,0.9616828804913288,0.010659052168030887,0.006606548979708546,10
narrow,mlp,5,0.7,0.48304589153964794,0.29939494540378153,1.7,0.6749485577105528,0.4183374501789461,0.9,0.31622776601683794,0.19599999999999998,0.22538344359466697,0.30555595951146314,0.18938554580010505,35.427534550170925,8.224901250306385,5.097846610263231,0.6035697714021852,0.0876286561586644,0.05431280378517966,0.2967584736567611,0.004312543909734249,0.0026729424077925716,10
narrow,mlp,10,0.6,0.5163977794943223,0.32006665972366866,4.3,0.48304589153964794,0.29939494540378153,1.0,0.0,0.0,0.1176335355870464,0.06725572158762354,0.041685528115429034,65.75578614001189,7.51674720198998,4.658928183781272,0.6335239277689599,0.05992180899342498,0.03713992199560976,0.39957518146062887,0.004775567132835528,0.002959927174724829,10
narrow,mlp,20,0.7,0.4830458915396479,0.2993949454037815,25.4,6.552353266829661,4.06119063001644,1.0,0.0,0.0,0.0347432526730773,0.0232983117918305,0.01444044325619285,131.36595581039597,14.69888066036596,9.110460620584236,0.6200400922100165,0.04557976230806988,0.02825062936410844,0.6058495592636366,0.004562737274085511,0.002828013861607403,10
narrow,orca,5,0.5,0.5270462766947299,0.32666666666666666,1.1,0.8755950357709131,0.5426994257106474,0.7,0.4830458915396479,0.2993949454037815,0.5797726857604284,0.6379492259034109,0.39540502673762906,42.17782861392426,14.087865045885167,8.73174921915765,1.0715364393434685,1.0859718403323568,0.673092320089971,0.1752054902889117,0.009092242197643291,0.005635430098959735,10
narrow,orca,10,0.5,0.5270462766947299,0.32666666666666666,2.8,1.3984117975602022,0.8667446118795444,0.9,0.31622776601683794,0.19599999999999998,0.34426667696836455,0.3982676681859095,0.24684885817484423,120.73200085791044,36.38067561854449,22.548976362989713,1.0505987089716813,1.0050044851353297,0.6229082334156455,0.41104580905930244,0.01271110728998839,0.007878425921350208,10
narrow,orca,20,0.4,0.5163977794943223,0.32006665972366866,10.8,3.9101008796307144,2.4235056334895435,1.0,0.0,0.0,0.20332562685443567,0.03568951764985715,0.022120592215800355,281.26730667504205,87.51172656273042,54.240330070768884,1.028026315903577,0.8416843826556031,0.5216813851561477,1.1530951106634746,0.023828156433729663,0.014768844367582626,10
narrow,rvo,5,1.0,0.0,0.0,1.4,0.5163977794943223,0.32006665972366866,1.0,0.0,0.0,0.38369123227373647,0.216088267642286,0.13393289587237858,29.360798218425202,2.8112147288480362,1.7424089408546006,0.07369828010761321,0.022891456044670407,0.014188271451522376,7.41955866027412,0.03203486379045935,0.019855414285776876,10
narrow,rvo,10,1.0,0.0,0.0,4.1,0.8755950357709131,0.5426994257106474,1.0,0.0,0.0,0.1628435638264359,0.10752029675268575,0.0666417703573958,62.215996067802806,5.811841639310764,3.6022167681640442,0.07133454049369062,0.006738027219300065,0.0041762725380430155,24.22577659418833,0.11100877992398726,0.06880395462788991,10
narrow,rvo,20,1.0,0.0,0.0,20.6,3.40587727318528,2.1109846043967253,1.0,0.0,0.0,0.07322294575939761,0.03580330110977807,0.022191115934907656,125.47919213131408,9.369477971565937,5.807262611876849,0.04295584117510646,0.010405082089071451,0.006449136693927801,85.7481271575378,0.30471123068351064,0.18886197744820432,10
open,astar,5,1.0,0.0,0.0,1.5,0.5270462766947299,0.32666666666666666,1.0,0.0,0.0,0.3860151402111825,0.11222179248390625,0.06955578760175805,35.57119877823309,3.5351333934167606,2.191098377720543,0.1261581043926267,0.017664738622262678,0.010948718430307385,0.11296315423341215,0.014982937346762325,0.00928652077885232,10
open,astar,10,1.0,0.0,0.0,3.3,1.3374935098492586,0.8289870659760352,1.0,0.0,0.0,0.16472876104392778,0.1507471508465603,0.09343405210139764,93.18399657777269,8.987955764920457,5.570792698293953,0.1055316123270105,0.013937313317976855,0.008638436291448266,0.22619636497994833,0.02762870195693572,0.01712444688766217,10
open,astar,20,1.0,0.0,0.0,23.0,3.1622776601683795,1.96,1.0,0.0,0.0,0.04964168403362764,0.04080228060790797,0.025289515528260535,182.3359937929825,16.36546083279567,10.143417713222428,0.09664438820233204,0.013919741175352255,0.008627544964611905,0.4340240238584183,0.07619983651674292,0.047229147982174244,10
open,gnn,5,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.15007791724398303,0.10264834554314163,0.06362210371300696,39.179218781581845,6.439569202092793,3.9912863424617253,0.5942109374365203,0.013446584846384974,0.008334279633595244,0.5216042354004458,0.0045809594211251295,0.0028393080653541258,10
open,gnn,10,0.0,0.0,0.0,6.9,1.5951314818673865,0.9886727354275416,1.0,0.0,0.0,0.2515321927820068,0.14440883698110052,0.08950552446678135,242.75442081270768,2.699126717430278,1.6729360716167019,1.2993795132650707,0.23024438756187232,0.14270694990054755,0.533505769756933,0.010924940962510017,0.006771348561903156,10
open,gnn,20,0.0,0.0,0.0,32.7,7.071853442423076,4.383180174764031,1.0,0.0,0.0,0.04429722640904497,0.02292691097486367,0.014210246644926202,472.07097418542344,7.419849336497138,4.598870264529533,1.3730923422977832,0.2064543451767207,0.12796172886501891,0.5486279597971588,0.01744608228700733,0.010813193829637857,10
open,mlp,5,1.0,0.0,0.0,1.8,0.42163702135578396,0.26133333333333336,1.0,0.0,0.0,0.23147663512059355,0.15476102998899252,0.09592188016857257,28.00933873327626,2.804389751667355,1.7381787761721539,0.2553133100613795,0.02085143432760378,0.012923852891503301,0.18417253689757998,0.004434523516269468,0.0027485461512020922,10
open,mlp,10,1.0,0.0,0.0,4.7,0.48304589153964794,0.29939494540378153,1.0,0.0,0.0,0.1299184227840749,0.05791609174432289,0.035896765565117575,60.585801861425786,6.5505078107605,4.060046804494375,0.23920660438723823,0.0185479388470438,0.011496131601002466,0.18715248058854128,0.002378831445603288,0.0014744150053965163,10
open,mlp,20,1.0,0.0,0.0,24.9,3.212821536005731,1.991327418806081,1.0,0.0,0.0,0.043913300593649285,0.02064596726356477,0.012796503085827155,119.05992677346156,11.73423635115471,7.272955040588882,0.23637859510470616,0.02242293377355361,0.013897878339318551,0.2027664281929839,0.0032582559290283554,0.002019487947353597,10
open,orca,5,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.07122414527280274,0.0048412565820339275,0.0030006419171557668,34.79552355456228,3.6307210610997642,2.250344227956449,0.15271358705548072,0.018471988397996512,0.011449057024975276,0.07002121740784406,0.001062198611898781,0.000658357520449598,10
