layout,method,robots,seed,success,collisions,collision_events,collision_episode,min_separation,path_length,steps,final_error,control_time_ms
crossing,gnn,20,11,1,341,20,1,0.003249203722015525,251.8402048586949,240,0.35607800729120337,1.5111635361487668
crossing,orca,20,12,0,115,11,1,0.15179042056037564,315.5933814406075,240,0.6978833439677425,1.6698846108435343
crossing,rvo,20,12,1,167,26,1,0.06970989959674864,154.22399236347093,109,0.03850413075492028,91.31053381881446
crossing,astar,20,12,1,362,34,1,0.02242180705071617,219.519993188026,98,0.07966986263329887,5.611863163090786
crossing,mlp,20,12,1,848,29,1,0.1264162813707114,150.47294738981657,240,0.6312317127996866,1.1484052462037653
crossing,gnn,20,12,0,471,35,1,0.05127682658273676,229.67268595724659,240,0.709051831259681,1.4981663805277396
crossing,orca,20,13,1,94,10,1,0.3204431720639505,370.1785157968501,240,0.0695925708300105,1.6569696657825261
crossing,rvo,20,13,1,156,29,1,0.04375951767659348,144.95599143363228,106,0.02845478617839552,90.65871020638437
crossing,astar,20,13,1,162,20,1,0.008492144040230288,201.59999362045392,90,0.06046010470205208,6.540837951211466
crossing,mlp,20,13,1,782,27,1,0.08349604434660726,140.7888242520736,240,0.5256774309846084,1.156523171812296
crossing,gnn,20,13,1,587,29,1,0.10020864117717504,235.26609859880858,240,0.45140363295201985,1.5347367889868717
crossing,orca,20,14,1,93,13,1,0.32381740797094205,331.96941222526607,217,0.060104944752798005,1.6773673662838573
crossing,rvo,20,14,1,210,24,1,0.04186182747178625,145.90799244683822,100,0.02610787334780278,90.82827198784798
crossing,astar,20,14,1,227,27,1,0.005900703416845797,201.59999453044608,90,0.09689737472874861,5.208576191216707
crossing,mlp,20,14,1,876,33,1,0.0074238328302308,141.78592413645373,240,0.4693802409603632,1.1363126027087371
crossing,gnn,20,14,1,451,23,1,0.023192741874202016,224.6653275247778,240,0.4003999816075049,1.472810880901913
crossing,orca,20,15,1,129,16,1,0.18136688864941672,275.4802190500684,181,0.05862661077241943,1.647218717107786
crossing,rvo,20,15,1,134,20,1,0.06402302954317055,137.08799059731172,101,0.027653209520548328,90.7239833118228
crossing,astar,20,15,1,260,27,1,0.03219112770418645,201.59999211008682,90,0.06767976547265861,6.802523782890704
crossing,mlp,20,15,1,628,24,1,0.0436433278643247,141.29912563462977,240,0.6253113843098592,1.1309339626071353
crossing,gnn,20,15,1,321,30,1,0.01764482995299798,249.2537028833371,240,0.40041598630719155,1.4827983221039176
